Column1;Column2
Text;Language
 Nature, in the broadest sense, is the natural, physical, material world or universe.;English
"""Nature"" can refer to the phenomena of the physical world, and also to life in general.";English
The study of nature is a large, if not the only, part of science.;English
Although humans are part of nature, human activity is often understood as a separate category from other natural phenomena.;English
"[1] The word nature is borrowed from the Old French nature and is derived from the Latin word natura, or ""essential qualities, innate disposition"", and in ancient times, literally meant ""birth"".";English
[2] In ancient philosophy, natura is mostly used as the Latin translation of the Greek word physis (φύσις), which originally related to the intrinsic characteristics that plants, animals, and other features of the world develop of their own accord.;English
"[3][4] 
The concept of nature as a whole, the physical universe, is one of several expansions of the original notion;[1] it began with certain core applications of the word φύσις by pre-Socratic philosophers (though this word had a dynamic dimension then, especially for Heraclitus), and has steadily gained currency ever since.";English
During the advent of modern scientific method in the last several centuries, nature became the passive reality, organized and moved by divine laws.;English
[5][6] With the Industrial revolution, nature increasingly became seen as the part of reality deprived from intentional intervention : it was hence considered as sacred by some traditions (Rousseau, American transcendentalism) or a mere decorum for divine providence or human history (Hegel, Marx).;English
However, a vitalist vision of nature, closer to the presocratic one, got reborn at the same time, especially after Charles Darwin.;English
"[1] Within the various uses of the word today, ""nature"" often refers to geology and wildlife.";English
Nature can refer to the general realm of living plants and animals, and in some cases to the processes associated with inanimate objects—the way that particular types of things exist and change of their own accord, such as the weather and geology of the Earth.;English
"It is often taken to mean the ""natural environment"" or wilderness—wild animals, rocks, forest, and in general those things that have not been substantially altered by human intervention, or which persist despite human intervention.";English
"For example, manufactured objects and human interaction generally are not considered part of nature, unless qualified as, for example, ""human nature"" or ""the whole of nature"".";English
This more traditional concept of natural things that can still be found today implies a distinction between the natural and the artificial, with the artificial being understood as that which has been brought into being by a human consciousness or a human mind.;English
"Depending on the particular context, the term ""natural"" might also be distinguished from the unnatural or the supernatural.";English
[1] Earth is the only planet known to support life, and its natural features are the subject of many fields of scientific research.;English
"Within the solar system, it is third closest to the sun; it is the largest terrestrial planet and the fifth largest overall.";English
Its most prominent climatic features are its two large polar regions, two relatively narrow temperate zones, and a wide equatorial tropical to subtropical region.;English
[7] Precipitation varies widely with location, from several metres of water per year to less than a millimetre.;English
71 percent of the Earth's surface is covered by salt-water oceans.;English
The remainder consists of continents and islands, with most of the inhabited land in the Northern Hemisphere.;English
Earth has evolved through geological and biological processes that have left traces of the original conditions.;English
The outer surface is divided into several gradually migrating tectonic plates.;English
The interior remains active, with a thick layer of plastic mantle and an iron-filled core that generates a magnetic field.;English
This iron core is composed of a solid inner phase, and a fluid outer phase.;English
Convective motion in the core generates electric currents through dynamo action, and these, in turn, generate the geomagnetic field.;English
The atmospheric conditions have been significantly altered from the original conditions by the presence of life-forms,[8] which create an ecological balance that stabilizes the surface conditions.;English
Despite the wide regional variations in climate by latitude and other geographic factors, the long-term average global climate is quite stable during interglacial periods,[9] and variations of a degree or two of average global temperature have historically had major effects on the ecological balance, and on the actual geography of the Earth.;English
[10][11] Geology is the science and study of the solid and liquid matter that constitutes the earth.;English
The field of geology encompasses the study of the composition, structure, physical properties, dynamics, and history of Earth materials, and the processes by which they are formed, moved, and changed.;English
The field is a major academic discipline, and is also important for mineral and hydrocarbon extraction, knowledge about and mitigation of natural hazards, some Geotechnical engineering fields, and understanding past climates and environments.;English
The geology of an area evolves through time as rock units are deposited and inserted and deformational processes change their shapes and locations.;English
Rock units are first emplaced either by deposition onto the surface or intrude into the overlying rock.;English
Deposition can occur when sediments settle onto the surface of the Earth and later lithify into sedimentary rock, or when as volcanic material such as volcanic ash or lava flows, blanket the surface.;English
Igneous intrusions such as batholiths, laccoliths, dikes, and sills, push upwards into the overlying rock, and crystallize as they intrude.;English
After the initial sequence of rocks has been deposited, the rock units can be deformed and/or metamorphosed.;English
Deformation typically occurs as a result of horizontal shortening, horizontal extension, or side-to-side (strike-slip) motion.;English
These structural regimes broadly relate to convergent boundaries, divergent boundaries, and transform boundaries, respectively, between tectonic plates.;English
Earth is estimated to have formed 4.54 billion years ago from the solar nebula, along with the Sun and other planets.;English
[12] The moon formed roughly 20 million years later.;English
Initially molten, the outer layer of the Earth cooled, resulting in the solid crust.;English
Outgassing and volcanic activity produced the primordial atmosphere.;English
Condensing water vapor, most or all of which came from ice delivered by comets, produced the oceans and other water sources.;English
[13] The highly energetic chemistry is believed to have produced a self-replicating molecule around 4 billion years ago.;English
[14] Continents formed, then broke up and reformed as the surface of Earth reshaped over hundreds of millions of years, occasionally combining to make a supercontinent.;English
Roughly 750 million years ago, the earliest known supercontinent Rodinia, began to break apart.;English
The continents later recombined to form Pannotia which broke apart about 540 million years ago, then finally Pangaea, which broke apart about 180 million years ago.;English
[16] During the Neoproterozoic era, freezing temperatures covered much of the Earth in glaciers and ice sheets.;English
"This hypothesis has been termed the ""Snowball Earth"", and it is of particular interest as it precedes the Cambrian explosion in which multicellular life forms began to proliferate about 530–540 million years ago.";English
[17] Since the Cambrian explosion there have been five distinctly identifiable mass extinctions.;English
[18] The last mass extinction occurred some 66 million years ago, when a meteorite collision probably triggered the extinction of the non-avian dinosaurs and other large reptiles, but spared small animals such as mammals.;English
Over the past 66 million years, mammalian life diversified.;English
[19] Several million years ago, a species of small African ape gained the ability to stand upright.;English
[15] The subsequent advent of human life, and the development of agriculture and further civilization allowed humans to affect the Earth more rapidly than any previous life form, affecting both the nature and quantity of other organisms as well as global climate.;English
